experiment_name,source_file,task_family,dataset,molecule,prior,encoder,seed,epochs,prior_weight,laplacian_mode,horizon,metric_name,metric_value,status,completed,notes
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.001,per_frame,4,rollout_error,0.11364147262647747,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.001,per_frame,8,rollout_error,0.15905633788555862,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.001,per_frame,16,rollout_error,0.2920906562358141,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.001,per_frame,,final_loss,0.012225430414435409,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.01,per_frame,1,rollout_error,0.1056572806974873,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.01,per_frame,2,rollout_error,0.1041282869130373,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.01,per_frame,4,rollout_error,0.11961048942990601,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.01,per_frame,8,rollout_error,0.12151672506704926,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.01,per_frame,16,rollout_error,0.15042334120720624,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.01,per_frame,,final_loss,0.05510468851952326,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.1,per_frame,1,rollout_error,0.17002886531874536,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.1,per_frame,2,rollout_error,0.16847874622792006,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.1,per_frame,4,rollout_error,0.19970744973048568,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.1,per_frame,8,rollout_error,0.21197850927710532,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.1,per_frame,16,rollout_error,0.26388543464243414,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.1,per_frame,,final_loss,0.4291130072540707,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,1.0,per_frame,1,rollout_error,0.2184275732282549,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,1.0,per_frame,2,rollout_error,0.2129661383293569,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,1.0,per_frame,4,rollout_error,0.24705901434645056,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,1.0,per_frame,8,rollout_error,0.24789783604443072,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,1.0,per_frame,16,rollout_error,0.2728729808330536,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,1.0,per_frame,,final_loss,3.941590767058115,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.001,per_frame,1,rollout_error,0.030584177849814296,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.001,per_frame,2,rollout_error,0.029650931688956918,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.001,per_frame,4,rollout_error,0.032879667347297074,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.001,per_frame,8,rollout_error,0.03441700155846775,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.001,per_frame,16,rollout_error,0.04056369846686721,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.001,per_frame,,final_loss,0.0015867867669652378,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,0,200,0.01,,1,rollout_error,0.005500175058841705,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,1,200,0.01,,1,rollout_error,0.006066789850592613,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,2,200,0.01,,1,rollout_error,0.008441700600087643,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,3,200,0.01,,1,rollout_error,0.009314654394984245,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,4,200,0.01,,1,rollout_error,0.013600104488432407,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,5,200,0.01,,1,rollout_error,0.0042029451578855515,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,0,200,0.01,,16,rollout_error,0.04428412392735481,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,1,200,0.01,,16,rollout_error,0.056038640439510345,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,2,200,0.01,,16,rollout_error,0.11370205879211426,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,3,200,0.01,,16,rollout_error,0.020759588107466698,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,4,200,0.01,,16,rollout_error,0.03684290498495102,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,5,200,0.01,,16,rollout_error,0.044004473835229874,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,0,200,0.01,,2,rollout_error,0.0073877377435564995,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,1,200,0.01,,2,rollout_error,0.008707485161721706,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,2,200,0.01,,2,rollout_error,0.02837943099439144,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,3,200,0.01,,2,rollout_error,0.007729655131697655,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,4,200,0.01,,2,rollout_error,0.020977448672056198,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,5,200,0.01,,2,rollout_error,0.007368466351181269,duplicate_snapshot,true,source_state=unknown
validation_wolfram_flat_10seed_200ep.20260424_005456,backups/validation_wolfram_flat_10seed_200ep.20260424_005456.json,unknown,,,euclidean,flat,0,200,0.01,,4,rollout_error,0.01534106396138668,duplicate_snapshot,true,source_state=unknown
