source,domain,item,molecule,topology,encoder,prior,prior_weight,horizon,mean_rollout_error,std_rollout_error,n,baseline,baseline_mean_rollout_error,pct_gain_vs_baseline,notes
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,4,0.010542,0.001693,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,8,0.015853,0.004140,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,16,0.029885,0.007845,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,32,0.093367,0.023027,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,1,0.003536,0.000534,3,gnn_node:none,0.009480,62.7052,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,2,0.003414,0.000426,3,gnn_node:none,0.009349,63.4897,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,4,0.004035,0.000876,3,gnn_node:none,0.010542,61.7186,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,8,0.005670,0.000884,3,gnn_node:none,0.015853,64.2308,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,16,0.010821,0.000423,3,gnn_node:none,0.029885,63.7921,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,32,0.031690,0.007754,3,gnn_node:none,0.093367,66.0583,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,random_graph,0.100000,1,0.003545,0.000536,3,gnn_node:none,0.009480,62.6103,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,random_graph,0.100000,2,0.003431,0.000446,3,gnn_node:none,0.009349,63.2986,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,random_graph,0.100000,4,0.004074,0.000859,3,gnn_node:none,0.010542,61.3538,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,random_graph,0.100000,8,0.005753,0.000894,3,gnn_node:none,0.015853,63.7097,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,random_graph,0.100000,16,0.010968,0.000856,3,gnn_node:none,0.029885,63.2995,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,random_graph,0.100000,32,0.030524,0.008295,3,gnn_node:none,0.093367,67.3078,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,1,0.025961,0.006905,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,2,0.027365,0.005314,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,4,0.030400,0.005755,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,8,0.044563,0.010057,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,16,0.080641,0.023241,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,32,0.195335,0.064512,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,graph,0.100000,1,0.004567,0.001378,3,gnn_node:none,0.009742,53.1200,
